codCliente,codPoliza,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
139270,137594,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139282,137637,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139292,137510,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139305,137533,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139340,137622,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139356,137668,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139359,137674,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139360,137678,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139381,137759,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139409,137816,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139409,138825,Patrimoniales,Salud,0,0,0,1,1,0
139420,137838,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139488,138089,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139496,138141,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139500,138155,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139511,138188,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139515,138194,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139519,138205,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139522,138214,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139523,138217,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139525,138221,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139532,138236,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139536,138240,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139537,138247,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139538,138249,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139541,138261,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139552,138296,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139559,138323,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139568,138348,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139583,138381,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139593,138409,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139597,138415,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139598,138420,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139600,138426,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139602,138429,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139607,138453,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139608,138450,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139611,138456,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139616,138469,Cumplimiento,Patrimoniales,0,0,0,1,0,0
139617,138477,Cumplimiento,Patrimoniales,0,0,0,1,0,0
